,Asset0032.tif,Asset0044.tif,Asset0049.tif,Asset0005.tif,Asset0037.tif,Asset0006.tif,Asset0017.tif,Asset0022.tif,Asset0008.tif,Asset0034.tif,Asset0015.tif,Asset0045.tif,Asset0028.tif,Asset0040.tif,Asset0050.tif,Asset0036.tif,Asset0031.tif,Asset0002.tif,Asset0001.tif,Asset0033.tif,Asset0009.tif,Asset0026.tif,Asset0010.tif,Asset0024.tif,Asset0035.tif,Asset0042.tif,Asset0018.tif,Asset0048.tif,Asset0043.tif,Asset0030.tif,Asset0014.tif,Asset0004.tif,Asset0020.tif,Asset0041.tif,Asset0016.tif,Asset0047.tif,Asset0039.tif,Asset0027.tif,Asset0003.tif,Asset0011.tif,Asset0021.tif,Asset0029.tif,Asset0012.tif,Asset0007.tif,Asset0046.tif
ES0001_S018_PC_EM,0.3684210526315789,0.6666666666666666,-0.07692307692307693,0.42857142857142855,-0.23809523809523808,0.08333333333333333,0.47368421052631576,-0.16666666666666666,-0.29411764705882354,-0.09090909090909091,0.09090909090909091,0.07692307692307693,0.4,0.7647058823529411,0.3333333333333333,-0.09090909090909091,0.037037037037037035,0.2,0.16666666666666666,0.42857142857142855,0.42857142857142855,0.18181818181818182,0.1,0.36363636363636365,0.391304347826087,0.46153846153846156,0.5238095238095238,0.3333333333333333,0.23809523809523808,0.30434782608695654,0.14285714285714285,0.45454545454545453,0.7391304347826086,0.09090909090909091,-0.4,-0.09090909090909091,0.17647058823529413,0.13043478260869565,0.30434782608695654,0.45454545454545453,0.18181818181818182,-0.13043478260869565,0.4166666666666667,0.25,0.23809523809523808
ES0001_S019_PC_EM,0.6666666666666666,-0.1111111111111111,0.0,0.36363636363636365,0.14285714285714285,0.09090909090909091,0.21739130434782608,-0.391304347826087,-0.14285714285714285,-0.047619047619047616,0.45454545454545453,0.13043478260869565,0.5,0.25,0.5,-0.2,-0.15384615384615385,0.2727272727272727,0.047619047619047616,0.05263157894736842,-0.043478260869565216,-0.2727272727272727,-0.043478260869565216,0.9047619047619048,-0.36363636363636365,0.5555555555555556,0.47368421052631576,0.1,-0.07692307692307693,0.043478260869565216,-0.05263157894736842,0.30434782608695654,0.043478260869565216,0.1111111111111111,0.23809523809523808,-0.30434782608695654,0.36363636363636365,-0.08333333333333333,0.043478260869565216,0.30434782608695654,0.5454545454545454,-0.13043478260869565,0.07692307692307693,0.3,-0.30434782608695654
ES0001_S020_PC_EM,-0.4166666666666667,0.14285714285714285,-0.30434782608695654,0.21739130434782608,0.42857142857142855,0.42857142857142855,0.52,-0.6666666666666666,0.6363636363636364,0.36363636363636365,0.875,0.45454545454545453,0.6190476190476191,0.8947368421052632,0.6190476190476191,-0.2727272727272727,0.15789473684210525,-0.08333333333333333,-0.18181818181818182,0.18181818181818182,0.4782608695652174,0.391304347826087,0.0,0.42857142857142855,-0.09090909090909091,0.4166666666666667,0.6842105263157895,0.29411764705882354,0.13043478260869565,0.6363636363636364,0.25925925925925924,-0.125,0.21739130434782608,0.14285714285714285,0.6666666666666666,-0.23809523809523808,0.125,0.15384615384615385,0.46153846153846156,0.5789473684210527,0.7647058823529411,0.09090909090909091,0.23076923076923078,0.42857142857142855,0.1
ES0001_S022_PC_EM,0.7,0.28,0.4782608695652174,0.043478260869565216,0.3333333333333333,-0.05263157894736842,0.7894736842105263,-0.23076923076923078,0.5,0.42857142857142855,0.23076923076923078,0.14285714285714285,0.7692307692307693,0.5454545454545454,0.7,0.058823529411764705,0.21739130434782608,0.4074074074074074,0.047619047619047616,0.09090909090909091,0.1111111111111111,-0.047619047619047616,0.12,0.9130434782608695,0.5652173913043478,0.4166666666666667,0.6190476190476191,0.3,0.30434782608695654,0.5652173913043478,0.2727272727272727,0.21739130434782608,0.52,0.0,0.5652173913043478,-0.2222222222222222,0.6,0.38461538461538464,0.25,0.5454545454545454,0.47368421052631576,0.42857142857142855,0.45454545454545453,0.23076923076923078,0.0
ES0001_S023_PC_EM,0.23809523809523808,0.23809523809523808,-0.14285714285714285,-0.3333333333333333,-0.125,0.047619047619047616,0.6,-0.6,0.47368421052631576,0.21739130434782608,0.2727272727272727,-0.09090909090909091,0.6,0.4,0.8888888888888888,-0.18181818181818182,-0.3333333333333333,-0.047619047619047616,-0.05263157894736842,0.15789473684210525,0.375,-0.21739130434782608,-0.09090909090909091,0.3684210526315789,0.15789473684210525,0.52,-0.047619047619047616,0.25,0.4,-0.2,0.2222222222222222,0.09090909090909091,0.6842105263157895,0.15384615384615385,-0.09090909090909091,0.4,-0.2727272727272727,0.5,0.2727272727272727,0.047619047619047616,0.7142857142857143,0.0,0.30434782608695654,-0.30434782608695654,-0.2222222222222222
ES0001_S024_PC_EM,0.5555555555555556,0.047619047619047616,0.3684210526315789,0.05263157894736842,0.2727272727272727,0.09090909090909091,0.2,-0.5,0.5,0.2,0.1,-0.14285714285714285,0.05263157894736842,0.1,0.1111111111111111,0.3684210526315789,0.5652173913043478,0.21739130434782608,-0.1,0.4117647058823529,0.3684210526315789,-0.1,-0.18181818181818182,0.23809523809523808,-0.05263157894736842,0.6842105263157895,0.23809523809523808,0.5652173913043478,-0.14285714285714285,0.23076923076923078,0.3333333333333333,0.4444444444444444,0.5,0.47368421052631576,0.0,0.043478260869565216,0.5238095238095238,0.05263157894736842,-0.14285714285714285,0.2727272727272727,0.3684210526315789,0.1111111111111111,0.30434782608695654,0.3,-0.4
ES0001_S025_PC_EM,0.4782608695652174,0.30434782608695654,0.6,0.5454545454545454,0.44,0.6363636363636364,0.6190476190476191,0.18518518518518517,0.3333333333333333,0.4,0.15789473684210525,0.6363636363636364,0.30434782608695654,0.21739130434782608,0.3333333333333333,0.0,-0.15789473684210525,-0.04,-0.08333333333333333,0.2727272727272727,0.3,0.5,-0.2727272727272727,0.6,0.08333333333333333,0.15789473684210525,0.47368421052631576,0.4166666666666667,0.44,0.3333333333333333,0.5238095238095238,-0.25,0.7142857142857143,0.15789473684210525,0.14285714285714285,0.0,0.3,0.21739130434782608,0.2903225806451613,0.6521739130434783,0.5,0.04,0.2727272727272727,0.35714285714285715,-0.5
ES0001_S026_PC_EM,0.16666666666666666,0.14285714285714285,0.42857142857142855,0.04,0.6,-0.04,0.4166666666666667,-0.4782608695652174,0.46153846153846156,-0.1111111111111111,0.09090909090909091,0.12,0.391304347826087,0.3333333333333333,0.3076923076923077,-0.07692307692307693,0.25,0.5652173913043478,0.043478260869565216,0.18518518518518517,0.5238095238095238,0.13043478260869565,0.3076923076923077,0.42857142857142855,0.0,0.25,0.30434782608695654,-0.043478260869565216,0.25,0.07692307692307693,-0.2727272727272727,0.13043478260869565,-0.07142857142857142,0.16666666666666666,0.36363636363636365,0.10344827586206896,0.08333333333333333,-0.04,0.5384615384615384,0.6923076923076923,0.25925925925925924,0.13043478260869565,-0.07692307692307693,0.28,0.14285714285714285
ES0001_S027_PC_EM,0.391304347826087,0.1111111111111111,0.2631578947368421,0.391304347826087,0.0,0.0,-0.2222222222222222,-0.6666666666666666,0.3684210526315789,0.4,0.4444444444444444,0.4166666666666667,0.1,-0.2,0.391304347826087,-0.4074074074074074,-0.047619047619047616,0.30434782608695654,-0.043478260869565216,0.23809523809523808,0.13043478260869565,0.1,0.0,0.42857142857142855,0.18181818181818182,0.2222222222222222,-0.047619047619047616,0.45454545454545453,-0.047619047619047616,0.6190476190476191,0.2,0.18181818181818182,0.058823529411764705,0.047619047619047616,-0.2727272727272727,0.047619047619047616,0.6190476190476191,0.46153846153846156,0.0,0.3333333333333333,0.4,0.0,0.3,0.7,-0.16666666666666666
ES0001_S028_PC_EM,0.4,0.047619047619047616,0.18181818181818182,-0.3,0.5789473684210527,-0.043478260869565216,0.3333333333333333,-0.8,0.3,0.09090909090909091,0.21739130434782608,-0.1,0.44,-0.2222222222222222,0.36,0.13043478260869565,0.09090909090909091,-0.08333333333333333,0.30434782608695654,-0.14285714285714285,0.14285714285714285,-0.23809523809523808,0.30434782608695654,0.15789473684210525,0.09090909090909091,0.7,0.4782608695652174,0.5454545454545454,0.3,0.09090909090909091,0.42857142857142855,0.4482758620689655,0.2,0.4444444444444444,-0.05263157894736842,-0.1,0.48148148148148145,0.21739130434782608,0.3333333333333333,0.18181818181818182,0.1,0.2,0.13043478260869565,0.45454545454545453,0.25
