,Baseline,Latency_a,Latency_b,T2MaxVel,T2MaxCon,T2Rec75pc,PeakCon,ConAmplitude,VelConMax,VelConAve,AccConMax,ConTime,VelRedAve,VelRedMax,AccRedMax,type
ES0001_S031_PC_EM,0.00228179456637425,0.29268292682926833,0.3008130081300813,0.41463414634146345,1.0731707317073171,0.0,-1.1082701062369436,1.1105519008033178,2.9772078870475975,1.3670444840837421,20.58974929180525,0.7804878048780488,0.28672133335865707,0.5072481246279671,2.112971456945819,asset
ES0001_S004_PC_EM,-0.003973592442567749,0.24390243902439027,0.3008130081300813,0.40650406504065045,1.3089430894308944,0.0,-0.5024999534512328,0.49852636100866504,1.5296719598345363,0.42910372577322603,11.761263186018978,1.0650406504065042,0.1692116683936227,0.4155230474451202,5.003509615678931,surprise
ES0001_S005_PC_EM,0.008051225460025069,0.5528455284552846,0.3170731707317074,0.5528455284552846,1.4390243902439026,0.0,-0.26888602624312596,0.27693725170315103,0.6291150590774329,0.27930537916099774,6.36819181097432,0.886178861788618,0.22174459607359692,0.5819384301652175,11.271727007773116,surprise
ES0001_S006_PC_EM,0.004712079908081072,0.40650406504065045,0.9837398373983741,0.47154471544715454,2.0650406504065044,0.0,-0.5080250530031876,0.5127371329112687,1.1198001927344847,0.39082514903747273,30.909277366191283,1.658536585365854,0.4222965636402675,1.8860976484325072,35.76088627865906,surprise
ES0001_S008_PC_EM,0.010275234789377216,0.31451612903225806,0.27419354838709675,0.3629032258064516,1.0564516129032258,0.0,-0.43833221310951664,0.44860744789889384,2.03470101725839,0.5652214345869202,17.087027858075636,0.7419354838709677,0.19514834523613858,0.6408299773764257,7.424848594216041,surprise
ES0001_S009_PC_EM,0.009546487600691692,0.3739837398373984,0.9918699186991871,1.0569105691056913,1.845528455284553,0.0,-0.7744300877914314,0.7839765753921231,1.2875033302603878,0.5861216525653199,17.641140349789904,1.4715447154471546,0.34428551364768584,0.8222678592249838,8.430046659067731,surprise
ES0001_S010_PC_EM,0.005841738880089024,0.5528455284552846,0.39837398373983746,0.47967479674796754,0.6747967479674798,0.28455284552845533,-0.07191786578097104,0.07775960466106006,0.41198473389129503,0.18544395884049839,3.1727367442330685,0.12195121951219523,0.14862156788899267,0.39449846476924594,3.3403706685281747,surprise
ES0001_S011_PC_EM,-0.009721833631057423,0.23577235772357727,0.3008130081300813,0.4308943089430895,0.7317073170731708,0.0,-0.4510749541428307,0.4413531205117733,1.3514972537466678,0.8096742124378684,7.932609935608609,0.49593495934959353,0.1513221788434678,0.38557636149302826,4.308483645800612,surprise
ES0001_S012_PC_EM,0.0009662548781757726,0.3821138211382114,0.34959349593495936,0.4634146341463415,1.1463414634146343,0.0,-0.5459508102726962,0.546917065150872,1.3373244357433909,0.6558106284379743,8.574152005328525,0.7642276422764229,0.15490082421322898,0.2675174652580972,4.088219708610836,surprise
ES0001_S013_PC_EM,-0.0006254679042727029,0.3252032520325204,0.3089430894308943,0.41463414634146345,0.9918699186991871,0.0,-0.5245658030269995,0.5239403351227268,1.6605755286415005,0.720976404995182,12.302977496359201,0.6666666666666667,0.10285546171489952,0.3124557365671871,3.914456547409792,surprise
ES0001_S015_PC_EM,0.008051225460025069,0.5528455284552846,0.3170731707317074,0.5528455284552846,1.4390243902439026,0.0,-0.26888602624312596,0.27693725170315103,0.6291150590774329,0.27930537916099774,6.36819181097432,0.886178861788618,0.22174459607359692,0.5819384301652175,11.271727007773116,surprise
ES0001_S017_PC_EM,-0.006371227591027595,0.24390243902439027,0.2520325203252033,0.34146341463414637,0.902439024390244,0.0,-0.7065698393187516,0.700198611727724,3.0765491252282344,1.0044029873130969,24.691809406620848,0.6585365853658538,0.21857966189426073,0.6079883350614598,4.4559134655701955,surprise
